RowId,YearStart,LocationAbbr,LocationDesc,DataSource,PriorityArea1,PriorityArea2,PriorityArea3,PriorityArea4,Class,Topic,Question,Data_Value_Type,Data_Value_Unit,Data_Value,Data_Value_Alt,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,Break_Out_Category,Break_Out,ClassId,TopicId,QuestionId,Data_Value_TypeID,BreakOutCategoryId,BreakOutId,LocationId,GeoLocation
abc,2016,US,United States,Medicare,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Major cardiovascular disease hospitalization rate among Medicare Fee-For-Service beneficiaries (65+); CMS Medicare,Crude,"Rate per 100,000",2367.6,2367.6,,,2318.3,2417.9,Race,Unknown,C1,T1,MD101,Crude,BOC04,RAC08,59,
,2020,NM,New Mexico,Medicare,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Major cardiovascular disease hospitalization rate among Medicare Fee-For-Service beneficiaries (65+); CMS Medicare,Crude,"Rate per 100,000",1810.1,1810.1,,,1419.4,2308.2,Race,Unknown,C1,T1,MD101,Crude,BOC04,RAC08,35,POINT (-106.240581 34.52088095)
,2016,LA,Louisiana,Medicare,None,,None,,Cardiovascular Diseases,Diseases of the Heart (Heart Disease),"Prevalence of in-hospital mortality among diseases of the heart (heart disease) hospitalizations, Medicare Fee-For-Service beneficiaries (65+); CMS Medicare",Crude,Percent (%),0.0,0.0,,,-1.0,-1.0,Race,Non-Hispanic Asian,C1,T2,MD203,Crude,BOC04,RAC03,22,POINT (-92.44568007 31.31266064)
,2017,ME,Maine,Medicare,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Major cardiovascular disease hospitalization rate among Medicare Fee-For-Service beneficiaries (65+); CMS Medicare,Crude,"Rate per 100,000",3076.9,3076.9,,,1822.3,5195.3,Race,Non-Hispanic Asian,C1,T1,MD101,Crude,BOC04,RAC03,23,POINT (-68.98503134 45.25422889)
,2017,WA,Washington,Medicare,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Major cardiovascular disease hospitalization rate among Medicare Fee-For-Service beneficiaries (65+); CMS Medicare,Crude,"Rate per 100,000",4650.5,4650.5,,,4572.3,4730.1,Gender,Male,C1,T1,MD101,Crude,BOC02,GEN01,53,POINT (-120.4700108 47.52227863)
,2016,DE,Delaware,Medicare,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Major cardiovascular disease hospitalization rate among Medicare Fee-For-Service beneficiaries (65+); CMS Medicare,Crude,"Rate per 100,000",4569.4,4569.4,,,3111.2,6711.1,Race,Hispanic,C1,T1,MD101,Crude,BOC04,RAC04,10,POINT (-75.57774117 39.00883067)
,2021,CO,Colorado,Medicare,None,,None,,Cardiovascular Diseases,Diseases of the Heart (Heart Disease),"Prevalence of in-hospital mortality among diseases of the heart (heart disease) hospitalizations, Medicare Fee-For-Service beneficiaries (65+); CMS Medicare",Crude,Percent (%),4.2,4.2,,,3.7,4.9,Gender,Male,C1,T2,MD203,Crude,BOC02,GEN01,8,POINT (-106.1336109 38.84384076)
,2021,MO,Missouri,Medicare,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of in-hospital mortality among major cardiovascular disease hospitalizations, Medicare Fee-For-Service beneficiaries (65+); CMS Medicare",Crude,Percent (%),4.9,4.9,,,4.7,5.3,Race,Non-Hispanic White,C1,T1,MD103,Crude,BOC04,RAC01,29,POINT (-92.56630005 38.63579078)
,2016,ME,Maryland,Medicare,None,,None,,Cardiovascular Diseases,Diseases of the Heart (Heart Disease),Diseases of the heart (heart disease) hospitalization rate among Medicare beneficiaries (65+); CMS Medicare,Crude,"Rate per 100,000",3542.4,3542.4,,,3441.2,3646.6,Race,Non-Hispanic Black,C1,T2,MD201,Crude,BOC04,RAC02,24,POINT (-76.60926011 39.29058096)
,2019,PA,Pennsylvania,Medicare,None,,None,,Cardiovascular Diseases,Diseases of the Heart (Heart Disease),Diseases of the heart (heart disease) hospitalization rate among Medicare beneficiaries (65+); CMS Medicare,Crude,"Rate per 100,000",4506.9,4506.9,,,4446.9,4567.7,Gender,Male,C1,T2,MD201,Crude,BOC02,GEN01,42,POINT (-77.86070029 40.79373015)
,2016,AR,Arkansas,Medicare,None,,None,,Cardiovascular Diseases,Diseases of the Heart (Heart Disease),Diseases of the heart (heart disease) hospitalization rate among Medicare beneficiaries (65+); CMS Medicare,Crude,"Rate per 100,000",2468.2,2468.2,,,1754.7,3471.8,Race,Hispanic,C1,T2,MD201,Crude,BOC04,RAC04,5,POINT (-92.27449074 34.74865012)
,2019,FL,Florida,Medicare,None,,None,,Cardiovascular Diseases,Diseases of the Heart (Heart Disease),"Prevalence of in-hospital mortality among diseases of the heart (heart disease) hospitalizations, Medicare Fee-For-Service beneficiaries (65+); CMS Medicare",Crude,Percent (%),3.2,3.2,,,1.9,5.6,Race,Non-Hispanic Asian,C1,T2,MD203,Crude,BOC04,RAC03,12,POINT (-81.92896054 28.93204038)
,2017,KS,Kansas,Medicare,None,,None,,Cardiovascular Diseases,Acute Myocardial Infarction (Heart Attack),Acute myocardial infarction (heart attack) hospitalization rate among Medicare Fee-For-Service beneficiaries (65+); CMS Medicare,Crude,"Rate per 100,000",547.2,547.2,,,363.6,823.5,Race,Other,C1,T3,MD401,Crude,BOC04,RAC07,20,POINT (-98.20078123 38.3477403)
,2020,OH,Ohio,Medicare,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Major cardiovascular disease hospitalization rate among Medicare Fee-For-Service beneficiaries (65+); CMS Medicare,Crude,"Rate per 100,000",2526.6,2526.6,,,2348.6,2718.0,Race,Unknown,C1,T1,MD101,Crude,BOC04,RAC08,39,POINT (-82.40426006 40.06021014)
,2021,GA,Georgia,Medicare,None,,None,,Cardiovascular Diseases,Diseases of the Heart (Heart Disease),Diseases of the heart (heart disease) hospitalization rate among Medicare beneficiaries (65+); CMS Medicare,Crude,"Rate per 100,000",2797.4,2797.4,,,2744.5,2851.3,Gender,Female,C1,T2,MD201,Crude,BOC02,GEN02,13,POINT (-83.62758035 32.83968109)
,2016,MN,Minnesota,Medicare,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of in-hospital mortality among major cardiovascular disease hospitalizations, Medicare Fee-For-Service beneficiaries (65+); CMS Medicare",Crude,Percent (%),5.9,5.9,,,5.3,6.6,Gender,Male,C1,T1,MD103,Crude,BOC02,GEN01,27,POINT (-94.7942005 46.35564874)
,2016,GA,Georgia,Medicare,None,,None,,Cardiovascular Diseases,Diseases of the Heart (Heart Disease),"Prevalence of in-hospital mortality among diseases of the heart (heart disease) hospitalizations, Medicare Fee-For-Service beneficiaries (65+); CMS Medicare",Crude,Percent (%),6.9,6.9,,,3.1,15.4,Race,Hispanic,C1,T2,MD203,Crude,BOC04,RAC04,13,POINT (-83.62758035 32.83968109)
,2021,NM,New Mexico,Medicare,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of in-hospital mortality among major cardiovascular disease hospitalizations, Medicare Fee-For-Service beneficiaries (65+); CMS Medicare",Crude,Percent (%),5.9,5.9,,,5.0,6.9,Gender,Female,C1,T1,MD103,Crude,BOC02,GEN02,35,POINT (-106.240581 34.52088095)
,2018,TN,Tennessee,Medicare,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Major cardiovascular disease hospitalization rate among Medicare Fee-For-Service beneficiaries (65+); CMS Medicare,Crude,"Rate per 100,000",4127.0,4127.0,,,3144.8,5416.0,Race,Hispanic,C1,T1,MD101,Crude,BOC04,RAC04,47,POINT (-85.77449091 35.68094058)
,2019,NV,Nevada,Medicare,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Major cardiovascular disease hospitalization rate among Medicare Fee-For-Service beneficiaries (65+); CMS Medicare,Crude,"Rate per 100,000",4383.0,4383.0,,,3912.6,4910.0,Race,Hispanic,C1,T1,MD101,Crude,BOC04,RAC04,32,POINT (-117.0718406 39.49324039)
,2021,RI,Rhode Island,Medicare,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of in-hospital mortality among major cardiovascular disease hospitalizations, Medicare Fee-For-Service beneficiaries (65+); CMS Medicare",Crude,Percent (%),4.1,4.1,,,3.3,5.3,Gender,Female,C1,T1,MD103,Crude,BOC02,GEN02,44,POINT (-71.52247031 41.70828019)
,2016,CT,Connecticut,Medicare,None,,None,,Cardiovascular Diseases,Diseases of the Heart (Heart Disease),Diseases of the heart (heart disease) hospitalization rate among Medicare beneficiaries (65+); CMS Medicare,Crude,"Rate per 100,000",3546.9,3546.9,,,2974.5,4229.5,Race,Hispanic,C1,T2,MD201,Crude,BOC04,RAC04,9,POINT (-72.64984095 41.56266102)
,2018,GA,Georgia,Medicare,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Major cardiovascular disease hospitalization rate among Medicare Fee-For-Service beneficiaries (65+); CMS Medicare,Crude,"Rate per 100,000",2428.6,2428.6,,,2142.2,2753.3,Race,Unknown,C1,T1,MD101,Crude,BOC04,RAC08,13,POINT (-83.62758035 32.83968109)
